ID,idea_sku,ma_tam_listing,sample_sku,title,store,note_brief,personalization,trang_thai,listing_id,listing_link,media_link,collection_media,doan_dau_des,attribute,tag,thumbnails,note
7afc4ade,97AB1DA1,LISTING-97AB1DA1-22,"d3e8fc34 , 0d599c43 , 35ad63ed , 2135a9c2 , 68baaba5 , e8ffd1ad","Birth announcement beige blanket, embroidered baby blanket, baby keepsake, custom baby gifts, personalized baby newborn gift",STORE_d56c3f85,"Để giá trong phần shipping là $5.99
Tất cả các màu: $55.72 (Giảm 30% còn $39.01)
Embroidery Name File: $15.71 (Giảm 30% còn $11 )","1. Choose Prince or Princess
2. Baby Name
3. Font Type
4. Birthdate
-------
*If you’d like one of the samples, just leave the sample name in #3
Ex1: Prince, John Miller, Sample 02, 03.20.2026
Ex2: Princess, Everlyn Smith, Font 04, 05.21.2026",Closed,4484424071,https://www.etsy.com/listing/4484424071,https://drive.google.com/drive/folders/1NfmS_WE8JIv9Wdsqvp3d1yUFWn5_TN_T,https://drive.google.com/drive/folders/1v_UIz7Phxgw0ZYXJUEe8U1u2MV9uaFDy,"Celebrate your little one with a custom baby blanket, beautifully embroidered blanket designed for birth announcement photos and precious baby milestone moments. This baby keepsake is a thoughtful custom baby gift and born baby gift, perfect to pair with a baby hospital outfit and cherish as one of your favorite newborn gifts. A cozy and meaningful choice for both baby girl gift and baby boy gift occasions, ideal for baby girl gifts and baby boy gifts alike.","Primary color: Beige
Materials: Cotton Yarn","baby keepsake, birth announcement, baby girl gift, baby boy gift, custom baby blanket, custom baby gift, embroidered blanket, baby milestone, born baby gift, baby hospital outfit, baby boy gifts, baby girl gifts, newborn gifts",listing_plan_Images/7afc4ade.thumbnails.104519.jpg,
7f78987e,97AB1DA1,LISTING-97AB1DA1-23,"d3e8fc34 , 0d599c43 , 35ad63ed , 2135a9c2 , 68baaba5 , e8ffd1ad","Baby girl gift, birth announcement blankets, embroidered pink baby blanket with name, personalized newborn gifts",STORE_d56c3f85,"Để giá trong phần shipping là $5.99
Tất cả các màu: $55.72 (Giảm 30% còn $39.01)
Embroidery Name File: $15.71 (Giảm 30% còn $11 )","1. Choose Prince or Princess
2. Baby Name
3. Font Type
4. Birthdate
-------
*If you’d like one of the samples, just leave the sample name in #3
Ex1: Prince, John Miller, Sample 02, 03.20.2026
Ex2: Princess, Everlyn Smith, Font 04, 05.21.2026",Closed,4484424677,https://www.etsy.com/listing/4484424677,https://drive.google.com/drive/folders/1gppjgtjmruWfq68iHssP0XFGIVOdwqGb,https://drive.google.com/drive/folders/1v_UIz7Phxgw0ZYXJUEe8U1u2MV9uaFDy,"Celebrate your little one with a custom baby blanket, beautifully embroidered blanket designed for birth announcement photos and precious baby milestone moments. This baby keepsake is a thoughtful custom baby gift and born baby gift, perfect to pair with a baby hospital outfit and cherish as one of your favorite newborn gifts. A cozy and meaningful choice for both baby girl gift and baby boy gift occasions, ideal for baby girl gifts and baby boy gifts alike.","Primary color: Pink
Materials: Cotton Yarn","baby keepsake, birth announcement, baby girl gift, baby boy gift, custom baby blanket, custom baby gift, embroidered blanket, baby milestone, born baby gift, baby hospital outfit, baby boy gifts, baby girl gifts, newborn gifts",listing_plan_Images/7f78987e.thumbnails.104532.jpg,
1fea17ff,97AB1DA1,LISTING-97AB1DA1-24,"d3e8fc34 , 0d599c43 , 35ad63ed , 2135a9c2 , 68baaba5 , e8ffd1ad","Embroidered custom baby blanket, cotton knit baby birth announcement white blankets,  personalized new baby gifts",STORE_d56c3f85,"Để giá trong phần shipping là $5.99
Tất cả các màu: $55.72 (Giảm 30% còn $39.01)
Embroidery Name File: $15.71 (Giảm 30% còn $11 )","1. Choose Prince or Princess
2. Baby Name
3. Font Type
4. Birthdate
-------
*If you’d like one of the samples, just leave the sample name in #3
Ex1: Prince, John Miller, Sample 02, 03.20.2026
Ex2: Princess, Everlyn Smith, Font 04, 05.21.2026",Closed,4484425167,https://www.etsy.com/listing/4484425167,https://drive.google.com/drive/folders/1-fcZpIfyvyOemhPINmRTxZxH0g_g_e0j,https://drive.google.com/drive/folders/1v_UIz7Phxgw0ZYXJUEe8U1u2MV9uaFDy,"Celebrate your little one with a custom baby blanket, beautifully embroidered blanket designed for birth announcement photos and precious baby milestone moments. This baby keepsake is a thoughtful custom baby gift and born baby gift, perfect to pair with a baby hospital outfit and cherish as one of your favorite newborn gifts. A cozy and meaningful choice for both baby girl gift and baby boy gift occasions, ideal for baby girl gifts and baby boy gifts alike.","Primary color: White
Materials: Cotton Yarn","baby keepsake, birth announcement, baby girl gift, baby boy gift, custom baby blanket, custom baby gift, embroidered blanket, baby milestone, born baby gift, baby hospital outfit, baby boy gifts, baby girl gifts, newborn gifts",listing_plan_Images/1fea17ff.thumbnails.104543.jpg,
80a9365e,97AB1DA1,LISTING-97AB1DA1-25,"d3e8fc34 , 0d599c43 , 35ad63ed , 2135a9c2 , 68baaba5 , e8ffd1ad","Baby boy gift, birth announcement blue blankets, embroidered baby blanket with name, personalized newborn gifts",STORE_d56c3f85,"Để giá trong phần shipping là $5.99
Tất cả các màu: $55.72 (Giảm 30% còn $39.01)
Embroidery Name File: $15.71 (Giảm 30% còn $11 )","1. Choose Prince or Princess
2. Baby Name
3. Font Type
4. Birthdate
-------
*If you’d like one of the samples, just leave the sample name in #3
Ex1: Prince, John Miller, Sample 02, 03.20.2026
Ex2: Princess, Everlyn Smith, Font 04, 05.21.2026",Closed,4484425579,https://www.etsy.com/listing/4484425579,https://drive.google.com/drive/folders/1K3emo-bbwjSAsMGOtZvzAfoIp8QXEiXp,https://drive.google.com/drive/folders/1v_UIz7Phxgw0ZYXJUEe8U1u2MV9uaFDy,"Celebrate your little one with a custom baby blanket, beautifully embroidered blanket designed for birth announcement photos and precious baby milestone moments. This baby keepsake is a thoughtful custom baby gift and born baby gift, perfect to pair with a baby hospital outfit and cherish as one of your favorite newborn gifts. A cozy and meaningful choice for both baby girl gift and baby boy gift occasions, ideal for baby girl gifts and baby boy gifts alike.","Primary color: Blue
Materials: Cotton Yarn","baby keepsake, birth announcement, baby girl gift, baby boy gift, custom baby blanket, custom baby gift, embroidered blanket, baby milestone, born baby gift, baby hospital outfit, baby boy gifts, baby girl gifts, newborn gifts",listing_plan_Images/80a9365e.thumbnails.104555.jpg,
5635eb59,97AB1DA1,LISTING-97AB1DA1-26,"d3e8fc34 , 0d599c43 , 35ad63ed , 2135a9c2 , 68baaba5 , e8ffd1ad","Embroidered sage custom baby gift, knit baby blanket with name, newborn gifts, new baby gifts",STORE_d56c3f85,"Để giá trong phần shipping là $5.99
Tất cả các màu: $55.72 (Giảm 30% còn $39.01)
Embroidery Name File: $15.71 (Giảm 30% còn $11 )","1. Choose Prince or Princess
2. Baby Name
3. Font Type
4. Birthdate
-------
*If you’d like one of the samples, just leave the sample name in #3
Ex1: Prince, John Miller, Sample 02, 03.20.2026
Ex2: Princess, Everlyn Smith, Font 04, 05.21.2026",Closed,4484431946,https://www.etsy.com/listing/4484431946,https://drive.google.com/drive/folders/19VW2qcPnlPh89MCTqFMs4tcnzrWOfjgj,https://drive.google.com/drive/folders/1v_UIz7Phxgw0ZYXJUEe8U1u2MV9uaFDy,"Celebrate your little one with a custom baby blanket, beautifully embroidered blanket designed for birth announcement photos and precious baby milestone moments. This baby keepsake is a thoughtful custom baby gift and born baby gift, perfect to pair with a baby hospital outfit and cherish as one of your favorite newborn gifts. A cozy and meaningful choice for both baby girl gift and baby boy gift occasions, ideal for baby girl gifts and baby boy gifts alike.","Primary color: Green
Materials: Cotton Yarn","baby keepsake, birth announcement, baby girl gift, baby boy gift, custom baby blanket, custom baby gift, embroidered blanket, baby milestone, born baby gift, baby hospital outfit, baby boy gifts, baby girl gifts, newborn gifts",listing_plan_Images/5635eb59.thumbnails.104614.jpg,
74ee5a29,97AB1DA1,LISTING-97AB1DA1-27,"d3e8fc34 , 0d599c43 , 35ad63ed , 2135a9c2 , 68baaba5 , e8ffd1ad","Personalized newborn gifts, custom baby blanket, cotton knit embroidered blanket for birth announcement, new baby gifts",STORE_d56c3f85,"Để giá trong phần shipping là $5.99
Tất cả các màu: $55.72 (Giảm 30% còn $39.01)
Embroidery Name File: $15.71 (Giảm 30% còn $11 )","1. Choose Prince or Princess
2. Baby Name
3. Font Type
4. Birthdate
-------
*If you’d like one of the samples, just leave the sample name in #3
Ex1: Prince, John Miller, Sample 02, 03.20.2026
Ex2: Princess, Everlyn Smith, Font 04, 05.21.2026",Closed,4484426855,https://www.etsy.com/listing/4484426855,https://drive.google.com/drive/folders/1hzzJI5LIGCwqgkK54Myj-zYAZ0WsXgre,https://drive.google.com/drive/folders/1v_UIz7Phxgw0ZYXJUEe8U1u2MV9uaFDy,"Celebrate your little one with a custom baby blanket, beautifully embroidered blanket designed for birth announcement photos and precious baby milestone moments. This baby keepsake is a thoughtful custom baby gift and born baby gift, perfect to pair with a baby hospital outfit and cherish as one of your favorite newborn gifts. A cozy and meaningful choice for both baby girl gift and baby boy gift occasions, ideal for baby girl gifts and baby boy gifts alike.","Primary color: Green
Materials: Cotton Yarn","baby keepsake, birth announcement, baby girl gift, baby boy gift, custom baby blanket, custom baby gift, embroidered blanket, baby milestone, born baby gift, baby hospital outfit, baby boy gifts, baby girl gifts, newborn gifts",listing_plan_Images/74ee5a29.thumbnails.104651.jpg,
775fee06,E2DEE625,LISTING-E2DEE625-1,"2a08d68d , c8932231 , cfd5bb29 , bcc6c9fe , 0c15993e , 0f310efc , 482a58aa , 29e8ea21","Personalized newborn outfit, applique embroidered custom baby onesie, newborn gift",STORE_d56c3f86,"24M | Blank: $21.41 (Giảm 30% còn $14.99)
3M: $42.84 (Giảm 30% còn $29.99)
6M: $45.70 (Giảm 30% còn $31.99)
9M: $48.56 (Giảm 30% còn $33.99)
12M: $51.41 (Giảm 30% còn $35.99)
18M: $54.27 (Giảm 30% còn $37.99)
24M: $57.13 (Giảm 30% còn $39.99)","1. Applique letter (e.g., N)
2. Enter the name (e.g., Natalie)
3. Thread color
4. Applique fabric
Ex1: A, Amanda, TH24, APP-02
-----------------
Want the same customization as one of the suggested combo?
Enter the name of combo instead of #3 & #4.
Ex2: A, Amanda, Combo 4",Closed,4482357850,https://www.etsy.com/listing/4482357850,https://drive.google.com/drive/folders/1n0y_nDyNb2BvcYzfA1hZs3j6-ZdUARtv,,"Our custom baby onesie is a sweet choice for newborn gifts and a thoughtful custom baby gift, perfect for celebrating a new baby gift moment. Designed as a cozy coming home outfit, it’s also ideal for baby shower gifts and pairs beautifully with everyday baby clothes, including baby girl clothes and baby boy clothes. A meaningful option for baby girl gifts, baby boy gifts, newborn boy gift, and newborn girl gift occasions.","Occasions: Baby shower
Primary color: White","newborn gifts, custom baby onesie, custom baby gift,  new baby gift, coming home outfit,  baby shower gifts, baby girl gifts, baby boy gifts,  newborn boy gift, newborn girl gift,  baby clothes, baby girl clothes, baby boy clothes",listing_plan_Images/775fee06.thumbnails.090717.jpg,
c15ddac2,E2DEE625,LISTING-E2DEE625-2,"2a08d68d , c8932231 , cfd5bb29 , bcc6c9fe , 0c15993e , 0f310efc , 482a58aa , 29e8ea21","Baby girl coming home outfit, applique embroidered baby onesie, baby girl gifts, baby girl clothes",STORE_d56c3f86,"24M | Blank: $21.41 (Giảm 30% còn $14.99)
3M: $42.84 (Giảm 30% còn $29.99)
6M: $45.70 (Giảm 30% còn $31.99)
9M: $48.56 (Giảm 30% còn $33.99)
12M: $51.41 (Giảm 30% còn $35.99)
18M: $54.27 (Giảm 30% còn $37.99)
24M: $57.13 (Giảm 30% còn $39.99)","1. Applique letter (e.g., N)
2. Enter the name (e.g., Natalie)
3. Thread color
4. Applique fabric
Ex1: A, Amanda, TH24, APP-02
-----------------
Want the same customization as one of the suggested combo?
Enter the name of combo instead of #3 & #4.
Ex2: A, Amanda, Combo 4",Closed,4482354297,https://www.etsy.com/listing/4482354297,https://drive.google.com/drive/folders/1-IlvcDRW2Li7uUyT82b-zdD95IClUkaP,,"Our custom baby onesie is a sweet choice for newborn gifts and a thoughtful custom baby gift, perfect for celebrating a new baby gift moment. Designed as a cozy coming home outfit, it’s also ideal for baby shower gifts and pairs beautifully with everyday baby clothes, including baby girl clothes and baby boy clothes. A meaningful option for baby girl gifts, baby boy gifts, newborn boy gift, and newborn girl gift occasions.","Occasions: Baby shower
Primary color: White","newborn gifts, custom baby onesie, custom baby gift,  new baby gift, coming home outfit,  baby shower gifts, baby girl gifts, baby boy gifts,  newborn boy gift, newborn girl gift,  baby clothes, baby girl clothes, baby boy clothes",listing_plan_Images/c15ddac2.thumbnails.091215.jpg,
69600ef6,E2DEE625,LISTING-E2DEE625-3,"2a08d68d , c8932231 , cfd5bb29 , bcc6c9fe , 0c15993e , 0f310efc , 482a58aa , 29e8ea21","Baby boy coming home outfit, applique embroidered baby onesie, baby boy gifts",STORE_d56c3f86,"24M | Blank: $21.41 (Giảm 30% còn $14.99)
3M: $42.84 (Giảm 30% còn $29.99)
6M: $45.70 (Giảm 30% còn $31.99)
9M: $48.56 (Giảm 30% còn $33.99)
12M: $51.41 (Giảm 30% còn $35.99)
18M: $54.27 (Giảm 30% còn $37.99)
24M: $57.13 (Giảm 30% còn $39.99)","1. Applique letter (e.g., N)
2. Enter the name (e.g., Natalie)
3. Thread color
4. Applique fabric
Ex1: A, Amanda, TH24, APP-02
-----------------
Want the same customization as one of the suggested combo?
Enter the name of combo instead of #3 & #4.
Ex2: A, Amanda, Combo 4",Closed,4482355143,https://www.etsy.com/listing/4482355143,https://drive.google.com/drive/folders/1IdqCkLtG0aXGHu2gNUagPGCgdED5DeJj,,"Our custom baby onesie is a sweet choice for newborn gifts and a thoughtful custom baby gift, perfect for celebrating a new baby gift moment. Designed as a cozy coming home outfit, it’s also ideal for baby shower gifts and pairs beautifully with everyday baby clothes, including baby girl clothes and baby boy clothes. A meaningful option for baby girl gifts, baby boy gifts, newborn boy gift, and newborn girl gift occasions.","Occasions: Baby shower
Primary color: White","newborn gifts, custom baby onesie, custom baby gift,  new baby gift, coming home outfit,  baby shower gifts, baby girl gifts, baby boy gifts,  newborn boy gift, newborn girl gift,  baby clothes, baby girl clothes, baby boy clothes",listing_plan_Images/69600ef6.thumbnails.091436.jpg,
e1f972d6,E2DEE625,LISTING-E2DEE625-4,"2a08d68d , c8932231 , cfd5bb29 , bcc6c9fe , 0c15993e , 0f310efc , 482a58aa , 29e8ea21","Baby boy gifts, applique embroidered custom baby onesie, green baby clothes, newborn boy gift, new baby gift",STORE_d56c3f86,"24M | Blank: $21.41 (Giảm 30% còn $14.99)
3M: $42.84 (Giảm 30% còn $29.99)
6M: $45.70 (Giảm 30% còn $31.99)
9M: $48.56 (Giảm 30% còn $33.99)
12M: $51.41 (Giảm 30% còn $35.99)
18M: $54.27 (Giảm 30% còn $37.99)
24M: $57.13 (Giảm 30% còn $39.99)","1. Applique letter (e.g., N)
2. Enter the name (e.g., Natalie)
3. Thread color
4. Applique fabric
Ex1: A, Amanda, TH24, APP-02
-----------------
Want the same customization as one of the suggested combo?
Enter the name of combo instead of #3 & #4.
Ex2: A, Amanda, Combo 4",Closed,4482355763,https://www.etsy.com/listing/4482355763,https://drive.google.com/drive/folders/1gavSqZqKMmUPaFPASRc4XEiFTbPp2bt9,,"Our custom baby onesie is a sweet choice for newborn gifts and a thoughtful custom baby gift, perfect for celebrating a new baby gift moment. Designed as a cozy coming home outfit, it’s also ideal for baby shower gifts and pairs beautifully with everyday baby clothes, including baby girl clothes and baby boy clothes. A meaningful option for baby girl gifts, baby boy gifts, newborn boy gift, and newborn girl gift occasions.","Occasions: Baby shower
Primary color: Green","newborn gifts, custom baby onesie, custom baby gift,  new baby gift, coming home outfit,  baby shower gifts, baby girl gifts, baby boy gifts,  newborn boy gift, newborn girl gift,  baby clothes, baby girl clothes, baby boy clothes",listing_plan_Images/e1f972d6.thumbnails.091555.jpg,
